Study name,Comparison,Outcome,Time point,Std diff in means                                                                          ,Group-A Sample size ,Group-B Sample size ,Effect direction,Hedges's g,Std Err,treated,age,dose,random/nonr,learning status,outcome test ,pretest pattern control group,type of training,sample age control group,sample age training group,Participants,training dose,program,gray,follow up test,design
"Schwarb et al, 2015 comp 2",com 2 verbal vs passive,visual working memory 1,posttest,0.6462,22,21,1,0.6343,0.3072,untreated,adults,small,r,u,symmetry span,Blank,n back,18-32,18-32,unselected,10 sessions,verbal wm training,published,Blank,random
"Schwarb et al, 2015 comp 2",com 2 verbal vs passive,visual working memory 2,posttest,0.8451,22,22,1,0.8299,0.3090,untreated,adults,small,r,u,change detection,Blank,n back,18-32,18-32,unselected,10 sessions,verbal wm training,published,Blank,random
"Schwarb et al, 2015 ex 1",passive,nRaven advanced,posttest,-0.1237,27,25,1,-0.1218,0.2736,untreated,adults,small,r,u,Raven Advanced,Blank,n back,18-30,18-30,unselected students,-,n-back,published,Blank,-
"Schweizer,  et al. 2011 comp  2",Comparison 2 (Emotional n-back vs Control),nRASM,posttest,0.9100,15,16,1,0.8863,0.3677,treat,adults,small,r,u,RAPM,Blank,n back,25,25,Recruited through University of Cambridge bulletin,2 two-hr long sessions (both pre & post) one on each of 2 consecutive days. 20 days in 4 five-day blocks followed by 2 rest days. Control: 20 min per session. Dual n-back: 20-30 min per session ,Dual n-back (affective & neutral): modeled on the task designed by Jaeggi et al--but used faces (visual) & words (audio) affective- words & faces emotional in valence. neutral: neutral condition faces and words are neutral in valance Control: Feature match task presents 2 panels. Minimum of 8 shapes. Adaptive but limited to 12 during training phase,published,Blank,Random assignment. Pretest-Intervertion-Posttest. 
"Schweizer,  et al. 2011 comp 1",Comparison 1 (Neutral n-back vs Control) ,nRASM,posttest,1.4100,14,16,1,1.3719,0.3977,treat,adults,small,r,u,RAPM,Blank,n back,25,25,Recruited through University of Cambridge bulletin,2 two-hr long sessions (both pre & post) one on each of 2 consecutive days. 20 days in 4 five-day blocks followed by 2 rest days. Control: 20 min per session. Dual n-back: 20-30 min per session ,Dual n-back (affective & neutral): modeled on the task designed by Jaeggi et al--but used faces (visual) & words (audio) affective- words & faces emotional in valence. neutral: neutral condition faces and words are neutral in valance Control: Feature match task presents 2 panels. Minimum of 8 shapes. Adaptive but limited to 12 during training phase,published,Blank,Blank
"Shavelson, et al. 2008",Blank,crit,posttest,0.5300,18,19,1,0.5186,0.3274,treat,children,large,r,l,span board task,Blank,cogmed,13 y 5 m,13 y 5 m,"Children in a middle school in Calefornia, 8 diagnosed with ADHD, ADD and LD","five days a week, 30-40 minutes a day, 25 days total",CogMed (2006),published,Blank,"pre-post test controlgroup, randomized"
"Shavelson, et al. 2008",Blank,nRaven,posttest,0.0100,18,19,1,0.0098,0.3218,treat,children,large,r,l,Raven,Blank,cogmed,13 y 5 m,13 y 5 m,"Children in a middle school in Calefornia, 8 diagnosed with ADHD, ADD and LD","five days a week, 30-40 minutes a day, 25 days total",CogMed (2006),published,Blank,"pre-post test controlgroup, randomized"
"Shavelson, et al. 2008",Blank,verbal working memory1,posttest,1.0000,18,19,1,0.9784,0.3413,treat,children,large,r,l,auditory span total (backw and forward),Blank,cogmed,13 y 5 m,13 y 5 m,"Children in a middle school in Calefornia, 8 diagnosed with ADHD, ADD and LD","five days a week, 30-40 minutes a day, 25 days total",CogMed (2006),published,Blank,"pre-post test controlgroup, randomized"
"Shavelson, et al. 2008",Blank,verbal working memory2,posttest,0.1600,18,19,1,0.1565,0.3223,treat,children,large,r,l,operation span,Blank,cogmed,13 y 5 m,13 y 5 m,"Children in a middle school in Calefornia, 8 diagnosed with ADHD, ADD and LD","five days a week, 30-40 minutes a day, 25 days total",CogMed (2006),published,Blank,"pre-post test controlgroup, randomized"
"Shavelson, et al. 2008",Blank,verbal working memory3,posttest,0.3400,18,19,1,0.3327,0.3241,treat,children,large,r,l,readin span,Blank,cogmed,13 y 5 m,13 y 5 m,"Children in a middle school in Calefornia, 8 diagnosed with ADHD, ADD and LD","five days a week, 30-40 minutes a day, 25 days total",CogMed (2006),published,Blank,"pre-post test controlgroup, randomized"
"Shiran & Breznitz, 2011 comp 1",Comparison 1 poor readers,crit,posttest,0.3700,26,15,1,0.3628,0.3205,treat,adults,large,n,l,cognifit visuo-spatial working memory test,Blank,other,25.11,25.11,Adult dyslexic readers,24 sessions over 6 weeks approximatly 15 minutes each,cognifit,published,Blank,"pre-post test controlgroup, nonrandomized"
"Shiran & Breznitz, 2011 comp 1",Comparison 1 poor readers,crit a WM,posttest,0.6833,26,15,1,0.6701,0.3265,treat,adults,large,n,l,crit a WM,Blank,other,25.11,25.11,Adult dyslexic readers,24 sessions over 6 weeks approximatly 15 minutes each,cognifit,published,Blank,"pre-post test controlgroup, nonrandomized"
"Shiran & Breznitz, 2011 comp 1",Comparison 1 poor readers,crit v-v WM,posttest,0.3999,26,15,1,0.3922,0.3209,treat,adults,large,n,l,crit v-v WM,Blank,other,25.11,25.11,Adult dyslexic readers,24 sessions over 6 weeks approximatly 15 minutes each,cognifit,published,Blank,"pre-post test controlgroup, nonrandomized"
"Shiran & Breznitz, 2011 comp 1",Comparison 1 poor readers,decoding parsing,posttest,-0.0812,26,15,1,-0.0797,0.3181,treat,adults,large,n,l,decoding parsing,Blank,other,25.11,25.11,Adult dyslexic readers,24 sessions over 6 weeks approximatly 15 minutes each,cognifit,published,Blank,"pre-post test controlgroup, nonrandomized"
"Shiran & Breznitz, 2011 comp 1",Comparison 1 poor readers,decoding pseudowords,posttest,0.3147,26,15,1,0.3086,0.3198,treat,adults,large,n,l,decoding pseudowords,Blank,other,25.11,25.11,Adult dyslexic readers,24 sessions over 6 weeks approximatly 15 minutes each,cognifit,published,Blank,"pre-post test controlgroup, nonrandomized"
"Shiran & Breznitz, 2011 comp 1",Comparison 1 poor readers,decoding words,posttest,0.4644,26,15,1,0.4554,0.3219,treat,adults,large,n,l,decoding words,Blank,other,25.11,25.11,Adult dyslexic readers,24 sessions over 6 weeks approximatly 15 minutes each,cognifit,published,Blank,"pre-post test controlgroup, nonrandomized"
"Shiran & Breznitz, 2011 comp 1",Comparison 1 poor readers,reading comprehension,posttest,0.8910,26,15,1,0.8737,0.3323,treat,adults,large,n,l,Silent Reading Comprehension,x,other,25.11,25.11,Adult dyslexic readers,24 sessions over 6 weeks approximatly 15 minutes each,cognifit,published,Blank,"pre-post test controlgroup, nonrandomized"
"Shiran & Breznitz, 2011 comp 2",comparison 2 skilled readers,crit,posttest,0.5100,35,15,1,0.5020,0.3079,treat,adults,large,n,u,cognifit visuo-spatial working memory test,Blank,other,25.11,25.11,adult  skilled readers,24 sessions over 6 weeks approximatly 15 minutes each,cognifit,published,Blank,"pre-post test controlgroup, nonrandomized"
"Shiran & Breznitz, 2011 comp 2",comparison 2 skilled readers,crit a WM,posttest,0.2676,35,15,1,0.2634,0.3049,treat,adults,large,n,u,crit a WM,Blank,other,25.11,25.11,adult  skilled readers,24 sessions over 6 weeks approximatly 15 minutes each,cognifit,published,Blank,"pre-post test controlgroup, nonrandomized"
"Shiran & Breznitz, 2011 comp 2",comparison 2 skilled readers,crit v-v WM,posttest,0.5112,35,15,1,0.5032,0.3079,treat,adults,large,n,u,crit v-v WM,Blank,other,25.11,25.11,adult  skilled readers,24 sessions over 6 weeks approximatly 15 minutes each,cognifit,published,Blank,"pre-post test controlgroup, nonrandomized"
"Shiran & Breznitz, 2011 comp 2",comparison 2 skilled readers,decoding parsing,posttest,-0.0274,35,15,1,-0.0270,0.3038,treat,adults,large,n,u,decoding parsing,Blank,other,25.11,25.11,adult  skilled readers,24 sessions over 6 weeks approximatly 15 minutes each,cognifit,published,Blank,"pre-post test controlgroup, nonrandomized"
"Shiran & Breznitz, 2011 comp 2",comparison 2 skilled readers,decoding pseudowords,posttest,0.5290,35,15,1,0.5207,0.3082,treat,adults,large,n,u,decoding pseudowords,Blank,other,25.11,25.11,adult  skilled readers,24 sessions over 6 weeks approximatly 15 minutes each,cognifit,published,Blank,"pre-post test controlgroup, nonrandomized"
"Shiran & Breznitz, 2011 comp 2",comparison 2 skilled readers,decoding words,posttest,0.2968,35,15,1,0.2922,0.3052,treat,adults,large,n,u,decoding words,Blank,other,25.11,25.11,adult  skilled readers,24 sessions over 6 weeks approximatly 15 minutes each,cognifit,published,Blank,"pre-post test controlgroup, nonrandomized"
"Shiran & Breznitz, 2011 comp 2",comparison 2 skilled readers,reading comprehension,posttest,0.5904,35,15,1,0.5811,0.3093,treat,adults,large,n,u,Silent Reading Comprehension,Blank,other,25.11,25.11,adult  skilled readers,24 sessions over 6 weeks approximatly 15 minutes each,cognifit,published,Blank,"pre-post test controlgroup, nonrandomized"
"Smith,  et al. 2013 comp 1",Comparison 1 ( E vs AC) [Dual n-back vs Gaming Web link],nRAPM,posttest,0.0435,10,10,1,0.0416,0.4284,treat,adults,small,r,u,RAPM,Blank,n back,19-34,19-34,University students of British University. Fluent at a graduate level academic English. All used computers on a daily basis. ,"COT, DIY, Gaming used software for 20 min per day for at least 17 days of 21 day evaluation period. ",Developed custom training system software. N-back working memory paradigm.  And a Commerically available software Nintendo DS (Dr. Kawashima’s Brain Training game).,published,Blank,Experimental -plus-control group design. Randomly assigned to one of four groups and balanced for gender. 
"Smith,  et al. 2013 comp 3",Comparison 3 (Dual n-back vs Gaming Nintendo),nRAPM,posttest,0.0000,10,10,1,0.0000,0.4283,treat,adults,small,r,u,RAPM,Blank,n back,19-34,19-34,University students of British University. Fluent at a graduate level academic English. All used computers on a daily basis. ,"COT, DIY, Gaming used software for 20 min per day for at least 17 days of 21 day evaluation period. ",Developed custom training system software. N-back working memory paradigm.  And a Commerically available software Nintendo DS (Dr. Kawashima’s Brain Training game).,published,Blank,Experimental -plus-control group design. Randomly assigned to one of four groups and balanced for gender. 
"Smith, et al. 2013 comp 2",Comparison 2 (E vs C) [Dual n-back vs No Contact],nRAPM,posttest,-0.6671,10,9,1,-0.6372,0.4509,untreated,adults,small,r,u,RAPM,Blank,n back,19-34,19-34,University students of British University. Fluent at a graduate level academic English. All used computers on a daily basis. ,"COT, DIY, Gaming used software for 20 min per day for at least 17 days of 21 day evaluation period. ",Developed custom training system software. N-back working memory paradigm.  And a Commerically available software Nintendo DS (Dr. Kawashima’s Brain Training game).,published,Blank,Experimental -plus-control group design. Randomly assigned to one of four groups and balanced for gender. 
"Soderqvist, et al.  2012",Blank,nRCPM,follow up,-0.1461,22,19,1,-0.1433,0.3075,treat,children,small,n,l,RCPM,Blank,other,6-Dec,6-Dec,IQ < 70. Registered with mental habilitation center in area of Buskerud in Norway. Not austic. Did no thave severe motor or sensory problems. 20 participants had additional diagnoses: 5(4) ADHD; Down's syndrome 1(1); epilepsy 1(1) and 7 with other additional neurological diagnoses. ,"20 min a day, 5 days a week. Minimum 20 sessions. ",CogMed (2006),published,12 months,Pseudo-randomized after for controlling for age and gender. Double blind. 
"Soderqvist, et al.  2012",Blank,nRCPM,posttest,-0.0124,22,19,1,-0.0121,0.3071,treat,children,small,n,l,RCPM,Blank,other,6-Dec,6-Dec,IQ < 70. Registered with mental habilitation center in area of Buskerud in Norway. Not austic. Did no thave severe motor or sensory problems. 20 participants had additional diagnoses: 5(4) ADHD; Down's syndrome 1(1); epilepsy 1(1) and 7 with other additional neurological diagnoses. ,"20 min a day, 5 days a week. Minimum 20 sessions. ",CogMed (2006),published,12 months,Pseudo-randomized after for controlling for age and gender. Double blind. 
"Soderqvist, et al.  2012",Blank,nWPPSI. Block Design,follow up,-0.1552,22,19,1,-0.1522,0.3076,treat,children,small,n,l,WPPSI. Block Design,Blank,other,6-Dec,6-Dec,IQ < 70. Registered with mental habilitation center in area of Buskerud in Norway. Not austic. Did no thave severe motor or sensory problems. 20 participants had additional diagnoses: 5(4) ADHD; Down's syndrome 1(1); epilepsy 1(1) and 7 with other additional neurological diagnoses. ,"20 min a day, 5 days a week. Minimum 20 sessions. ",CogMed (2006),published,12 months,Pseudo-randomized after for controlling for age and gender. Double blind. 
"Soderqvist, et al.  2012",Blank,nWPPSI. Block Design,posttest,0.2595,22,19,1,0.2545,0.3084,treat,children,small,n,l,WPPSI. Block Design,Blank,other,6-Dec,6-Dec,IQ < 70. Registered with mental habilitation center in area of Buskerud in Norway. Not austic. Did no thave severe motor or sensory problems. 20 participants had additional diagnoses: 5(4) ADHD; Down's syndrome 1(1); epilepsy 1(1) and 7 with other additional neurological diagnoses. ,"20 min a day, 5 days a week. Minimum 20 sessions. ",CogMed (2006),published,12 months,Pseudo-randomized after for controlling for age and gender. Double blind. 
"Soderqvist, et al.  2012",Blank,verbal working memory,follow up,-0.0700,22,19,1,-0.0686,0.3072,treat,children,small,n,l,word span backwards,Blank,other,6-Dec,6-Dec,IQ < 70. Registered with mental habilitation center in area of Buskerud in Norway. Not austic. Did no thave severe motor or sensory problems. 20 participants had additional diagnoses: 5(4) ADHD; Down's syndrome 1(1); epilepsy 1(1) and 7 with other additional neurological diagnoses. ,"20 min a day, 5 days a week. Minimum 20 sessions. ",CogMed (2006),published,12 months,Pseudo-randomized after for controlling for age and gender. Double blind. 
"Soderqvist, et al.  2012",Blank,verbal working memory,posttest,0.3900,22,19,1,0.3825,0.3100,treat,children,small,n,l,word span backwards,Blank,other,6-Dec,6-Dec,IQ < 70. Registered with mental habilitation center in area of Buskerud in Norway. Not austic. Did no thave severe motor or sensory problems. 20 participants had additional diagnoses: 5(4) ADHD; Down's syndrome 1(1); epilepsy 1(1) and 7 with other additional neurological diagnoses. ,"20 min a day, 5 days a week. Minimum 20 sessions. ",CogMed (2006),published,12 months,Pseudo-randomized after for controlling for age and gender. Double blind. 
"Soderqvist, et al.  2012",Blank,visual working memory,follow up,-0.0100,22,19,1,-0.0098,0.3071,treat,children,small,n,l,odd one out,Blank,other,6-Dec,6-Dec,IQ < 70. Registered with mental habilitation center in area of Buskerud in Norway. Not austic. Did no thave severe motor or sensory problems. 20 participants had additional diagnoses: 5(4) ADHD; Down's syndrome 1(1); epilepsy 1(1) and 7 with other additional neurological diagnoses. ,"20 min a day, 5 days a week. Minimum 20 sessions. ",CogMed (2006),published,12 months,Pseudo-randomized after for controlling for age and gender. Double blind. 
